Mass->,Nd142Di,Nd143Di,Nd144Di,Nd146Di,Gd158Di,Dy164Di,Dy162Di,Dy163Di,Ho165Di,Er166Di,Er167Di,Er168Di,Er170Di,Tm169Di,Yb172Di,Yb173Di,Yb174Di,Yb176Di
93,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1
94,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1
95,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1
96,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0
97,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0
98,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0
99,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0
100,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0
101,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0
102,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1
103,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1
104,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1
105,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1
106,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1
107,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1
108,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0
109,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0
110,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0
111,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0
112,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1
113,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1
114,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1
115,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1
116,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1
117,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1
118,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0
119,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0
120,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0
121,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0
122,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1
123,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1
124,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1
125,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1
126,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,0
127,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0
128,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1
129,0,1,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0
130,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0
131,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0
132,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0
133,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1
134,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0
135,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0
136,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0
137,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0
138,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1
139,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1
140,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1
141,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1
142,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0
143,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0
144,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0
145,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0
146,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0
147,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0
148,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1
149,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0
150,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0
151,0,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0
152,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0
153,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1
154,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1
155,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1
156,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1
157,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0
158,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0
159,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0
160,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0
161,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0
162,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0
163,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1
164,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1
165,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1
166,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1
167,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0
168,0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0
169,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0
170,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0
171,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0
172,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0
173,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1
174,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1
175,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1
176,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1
177,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1
178,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1
179,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0
180,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0
181,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0
182,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0
183,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1
184,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0
185,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0
186,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0
187,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0
188,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1
189,0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1
190,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1
191,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1
192,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0
193,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0
194,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0
195,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0
196,0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0
197,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0
198,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1
199,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1
200,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1
201,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1
202,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0
203,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0
204,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0
205,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0
206,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0
207,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0
208,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1
209,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1
210,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1
211,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1
212,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1
213,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1
214,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0
215,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0
216,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
217,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0
218,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1
219,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1
220,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1
221,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1
222,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0
223,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0
224,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0
225,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0
226,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0
227,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0
228,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1
229,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1
230,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1
231,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1
232,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1
233,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1
234,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0
235,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0
236,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0
237,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0
238,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1
239,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1
240,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1
241,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1
242,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1
243,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1
244,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0
245,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0
246,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
247,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0
248,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1
249,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1
250,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1
251,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1
252,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0
253,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0
254,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1
255,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0
256,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0
257,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0
258,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0
259,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1
260,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0
261,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
262,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0
263,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0
264,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1
265,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1
266,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1
267,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1
268,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0
269,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0
270,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0
271,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0
272,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0
273,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0
274,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1
275,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0
276,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0
277,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0
278,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0
279,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1
280,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1
281,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1
282,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1
283,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0
284,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0
285,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0
286,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0
287,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0
288,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0
289,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1
290,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1
291,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1
292,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1
293,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0
294,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0
295,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0
296,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0
297,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0
298,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0
299,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1
300,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1
301,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1
302,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1
303,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1
304,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1
305,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0
306,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0
307,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0
308,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0
309,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1
310,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0
311,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0
312,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0
313,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0
314,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1
315,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1
316,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1
317,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1
318,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0
319,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0
320,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,0
321,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0
322,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0
323,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1,0
324,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1
325,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1
326,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1
327,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1
328,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0
329,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0
330,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0
331,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0
332,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0
333,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0
334,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1
335,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1
336,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1
337,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1
338,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1
339,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1
340,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0
341,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0
342,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0
343,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0
344,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1
345,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1
346,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1
347,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1
348,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0
349,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0
350,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0
351,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0
352,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0
353,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0
354,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1
355,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1
356,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1
357,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1
358,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1
359,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1
360,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0
361,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0
